pa_ms,pa_anvisa_sim,dist_lev,tipo
HEXA CLOROFADOROEXANODIELINOGLICOL,CLORIDRATO DE AVIGLICINA,17.0,princípio ativo
N-(PHOSPHONOMETHYL)GLYCINE,PROMETRINA,17.0,princípio ativo
N-(PHOSPHONOMITHYL)GLYCINE,SOPHORA FLAVESCENS,17.0,princípio ativo
ACETYLPHOSPHDRAMIDOTHIOATE,ANILINOPIRIMIDINA,16.0,grupo químico
COLOSSO=ECTOPARASITICIDAS,CLOROACETANILIDA,15.0,grupo químico
DIETILNITROFENILTHIOFOSFATO,DINITROANILINA,15.0,grupo químico
TETRACHLOROISOPHTHALONITRILE,ISOFTALONITRILA,15.0,grupo químico
DICLOROFENILTRICLOROETANO,CLOROBENZILATO,14.0,princípio ativo
2-PYRIDYLPHOSPHOROTHIOATE,PIRACLOSTROBINA,14.0,princípio ativo
DICLORODIJENILTRICLORETANO,CLORODIFENILSULFONA,13.0,grupo químico
DMA 806 BR MATA MATO,FORMETANATO,13.0,princípio ativo
N-PHOPHONOMETHYGLYCENE,SOPHORA FLAVESCENS,13.0,princípio ativo
N-(FOSFONOMETIL)GLICINA,AVIGLICINA,13.0,princípio ativo
NAO SABE QUAL FOI,CLORMEQUATE,12.0,princípio ativo
S METHYTHIOACETIMIDETE,CLOROACETAMIDA,12.0,grupo químico
DICHLOROPHENOXYACETIC,DICLOFOPE - METILICO,12.0,princípio ativo
CARBOXIMETILCELULOSE,CARBOFENOTIONA,12.0,princípio ativo
DICLORODIFENILTRICLOROETANO,CLORODIFENILSULFONA,12.0,grupo químico
SAL DE SODIO(PRECIPITADOR,BROMOPROPILATO,11.0,princípio ativo
METHYLHEPTYLESTER,METIL EUGENOL,11.0,princípio ativo
ACIDODICLOROFENOXIACETICO,ACIDO INDOLIL ACETICO,11.0,princípio ativo
TETRAHYDROFURFURYL,TETRADIFONA,11.0,princípio ativo
O-METHYLCARBAMEYLOXINE,METILCARBAMATO DE OXIMA,11.0,grupo químico
CHLOROETHYLPHOSPHONIC ACID,CLOROTALONIL,11.0,princípio ativo
HEXACLORICICLOHEXANO,ESPIRODICLOFENO,11.0,princípio ativo
ANTICONALINASTARESICO,ACIDO LINOLEICO,11.0,princípio ativo
NAO SABE  O NOME,NOVALUROM,11.0,princípio ativo
N-FOSFONOMETILGLICINA,AVIGLICINA,11.0,princípio ativo
METHYCARBBAMOYLOXIME,METILCARBAMATO DE OXIMA,10.0,grupo químico
N-FOSFOMETILGLICIMA,AVIGLICINA,10.0,princípio ativo
NAO SABE O NOME,NOVALUROM,10.0,princípio ativo
ISOPROPYLAMMONIUN N,CLOROTALONIL,10.0,princípio ativo
"2,4 DICLONOFENOXIACETICO",DICLOFOPE - METILICO,10.0,princípio ativo
ENER K 40 PLUS,ETER DIFENILICO,10.0,grupo químico
ANTICIOLINESTIRAGICO,ACIDO ESTEARICO,10.0,princípio ativo
N - PHOSPHONOMETHYI,FOSMETE,10.0,princípio ativo
100 ML MATA MATO,FORMETANATO,10.0,princípio ativo
"DINETHYLANNONIUN(2,4-DICHLOROPHENOOXY)ACATE.",DINITROANILINA,10.0,grupo químico
ANTOCOLINESTERASICOS,ACIDO ESTEARICO,10.0,princípio ativo
PHOSPHONOMETHYL,FOSMETE,10.0,princípio ativo
ANTICOLINESTEROZE,ACIDO ESTEARICO,10.0,princípio ativo
PICLORANTRIETANOLAMINA,"2,4 - D - TRIETANOLAMINA",10.0,princípio ativo
CLIMETHYLAMMONIUM,CLETODIM,10.0,princípio ativo
ISOPROPYLAMMONIUM,CLOROTALONIL,10.0,princípio ativo
DIMELHOXYPYRIMIDIN 46,DICARBOXIMIDA,10.0,grupo químico
DEXACLORFEMIRAMINA,CLORFENAPIR,10.0,princípio ativo
DIMETHOXYPYRIMIDIM,DIMETENAMIDA,10.0,princípio ativo
METHYECARBAMOYLOXY,DIMETILCARBAMATO,10.0,grupo químico
ANTICOLUOSFERCIFICO,ACIDO ABSCISICO,10.0,princípio ativo
ANTICOLINISTERODICO,ACIDO GIBERELICO,10.0,princípio ativo
"2,4 DICLOROCENOXIACEYICO",DICLOFOPE - METILICO,10.0,princípio ativo
ANTECOLINOSTERASICO,ACIDO LINOLEICO,10.0,princípio ativo
GLI OURO MATA MATO,FORMETANATO,10.0,princípio ativo
S-DIMETILFOSRAMIDOTIOATO,DIMETILCARBAMATO,10.0,grupo químico
RANDAPGRANULADO 48,MANDIPROPAMIDA,9.0,princípio ativo
NAO SABE GUAL,FOSETIL,9.0,princípio ativo
"DICLOROFENOXICETICO 2,4",DICLOFOPE - METILICO,9.0,princípio ativo
ANTICOLINESTERASICOS,ACIDO ESTEARICO,9.0,princípio ativo
PHOSPHONOMETHY,FOSMETE,9.0,princípio ativo
DICLOROFENOXIACIDO,CLORFENAPIR,9.0,princípio ativo
DICLOROFERAXIACETICO,CLOROAROMATICO,9.0,grupo químico
ANTICOLUNESBERASICO,ACIDO ESTEARICO,9.0,princípio ativo
DICLOROFENOXIACETICO,CLOROAROMATICO,9.0,grupo químico
ANTICOLINESTERASIO,ACIDO ESTEARICO,9.0,princípio ativo
ANTICOAGULANTE,DICLOSULAM,9.0,princípio ativo
MONOFLUORACETATO,FLUVALINATO,9.0,princípio ativo
"2,4 D SAL DE TRIISOPROPANOLANIM","2,4 - D - TRIISOPROPANOLAMINA",9.0,princípio ativo
ANTICARRAPATICIDA,MANDIPROPAMIDA,9.0,princípio ativo
ANTIINFLAMATORIO,ANTRANILAMIDA,9.0,grupo químico
ANTICOLINESFERAGICO,ACIDO ESTEARICO,9.0,princípio ativo
METHYCARBAMAYLOXIL,DIMETILCARBAMATO,9.0,grupo químico
ANTECOLUOSBERZICO,ACIDO BORICO,9.0,princípio ativo
ANTECOLINESTEROICO,ACIDO ESTEARICO,9.0,princípio ativo
ALUTICELNESTERAXICO,ACIDO ESTEARICO,9.0,princípio ativo
