nome_ms,prod_mais_similar,dist_lev,ingrediente,tipo
,DUO,3.0,DIUROM,princípio ativo
SUPORT,SPOT,2.0,DIMOXISTROBINA,princípio ativo
ARCOBIN,ARTOIL,3.0,OLEO VEGETAL,princípio ativo
NEOSORO,DEORO,3.0,FLUMETRALIN,princípio ativo
ISETICOM,INSTIVO,4.0,CLORANTRANILIPROLE,princípio ativo
BIOZIME,BIO-IMUNE,3.0,BACILLUS SUBTILIS,princípio ativo
PLANTA COMIGO NINGUEM PODE,COLISEO,3.0,ATRAZINA,princípio ativo
TAMARON GRANULADO,GAMATION,3.0,MALATIONA,princípio ativo
ALTERNI,ALTERNE ,2.0,TEBUCONAZOLE,princípio ativo
PIMIPLUS,PRISMA PLUS,4.0,DIFENOCONAZOL,princípio ativo
GRASON,KRATON,2.0,LUFENUROM,princípio ativo
SETE FRASCOS DIABO VERDE,VERTER,2.0,SULFOXAFLOR,princípio ativo
CARBAMOLO,CARTAGO,4.0,CLETODIM,princípio ativo
LOMBGA CALOTRINA,SORBA,3.0,LUFENUROM,princípio ativo
AD 40,AGILE,4.0,CLETODIM,princípio ativo
THIEAM,TOPINAM,3.0,TRICLOPIR-BUTOTILICO,princípio ativo
VELCAPAR,VELDARA,3.0,PIRACLOSTROBINA,princípio ativo
DRAMANONA,DAYTONA,4.0,TRICHODERMA HARZIANUM,princípio ativo
TEMIQUE,UNIQUE,3.0,PAECILOMYCES LILACINUS,princípio ativo
ORGONOS FOSFORADO,OREGON,3.0,NOVALUROM,princípio ativo
FENOXIACETICOS,EXPEDITION,9.0,SULFOXAFLOR,princípio ativo
FOLIDOL,HODOR,4.0,MANCOZEBE,princípio ativo
CARBONATO DE LITIUM,DEZ,1.0,"2,4 - D",princípio ativo
ORTHENE 750BR,OCTANE,3.0,TRICHODERMA HARZIANUM,princípio ativo
AGROPORA,AGRONEEM,4.0,OLEO DE NIM (AZADIRACHTA INDICA),princípio ativo
SORFENOL,SERIFEL,4.0,BACILLUS AMYLOLIQUEFACIENS,princípio ativo
BENIVIA,BENEVIA,1.0,CIANTRANILIPROLE,princípio ativo
GLICOSSATE,GLIFOSAL,4.0,GLIFOSATO,princípio ativo
CONFIDOR EVIDENCE,ALICERCE,4.0,MANCOZEBE,princípio ativo
OMITE,SMITE ,2.0,ETOXAZOLE,princípio ativo
TIGER 100 EC,TIGER 100 EW,1.0,PIRIPROXIFEM,princípio ativo
DEFENCIVO AGRICOLA DA CLASSE IV,CLOSER,3.0,SULFOXAFLOR,princípio ativo
NUFUS,NAVUS,2.0,NICOSSULFUROM,princípio ativo
N-METIL-CARBONICO,METIZ,1.0,METRIBUZIM,princípio ativo
KAUTRIN,AUIN,3.0,BEAUVERIA BASSIANA,princípio ativo
DORFLEX,ORFEU,3.0,ACETAMIPRIDO,princípio ativo
FOSFONOMETIL,SENSEI,8.0,BUPROFEZINA,princípio ativo
DECIL,XEKIL,2.0,DIURON,princípio ativo
SUTRIAFOL,SERIFEL,4.0,BACILLUS AMYLOLIQUEFACIENS,princípio ativo
REGENT 800,SEVEN,3.0,TEBUCONAZOLE,princípio ativo
TENEKE,SENSEI,4.0,BUPROFEZINA,princípio ativo
RUZOMIN,TRUZON,3.0,CIPRODINIL,princípio ativo
DERMOXIL,CERCONIL,3.0,TIOFANATO METILICO,princípio ativo
BUTILGLICOL,PILARICO,6.0,NICOSSULFUROM,princípio ativo
IAC,NAN,2.0,NAN,princípio ativo
IMPACT,INVICT,3.0,AZOXISTROBINA,princípio ativo
LAMBDA CYHATOHRIN,LAVRA,3.0,"2,4 - D",princípio ativo
CARLEOFURAM,CALIFORCE,6.0,NEOSEIULUS CALIFORNICUS,princípio ativo
CIGARAL,CIGARAL ,1.0,IMIDACLOPRIDO,princípio ativo
GRAMUCHONE,GAMATION,5.0,MALATIONA,princípio ativo
ADUBO FOLEAR,DUO,2.0,DIUROM,princípio ativo
DECIS 25 E,DECISIVE,3.0,GLIFOSATO,princípio ativo
CLASSIC,LANTIC,3.0,CARBENDAZIM,princípio ativo
COSTAL,COSTAR,1.0,BACILLUS THURINGIENSIS,princípio ativo
SAL DIAMONICO,DIAMOND,3.0,TRICHODERMA KONINGIOPSIS,princípio ativo
MEL CONTAMINADO,PONTO FINAL,6.0,BACILLUS THURINGIENSIS,princípio ativo
GLIFOSAP,GLIFOSAL,1.0,GLIFOSATO,princípio ativo
HASTATION E KARITE,AGILE,3.0,CLETODIM,princípio ativo
FUNGICIDA ORGANICO,ORGANIC WP,3.0,TRICHODERMA ASPERELLUM,princípio ativo
FUNGISIDA,SUGARINA,5.0,AMETRINA,princípio ativo
MATCH EC,SWITCH,3.0,CYPRODINIL,princípio ativo
COMET BASF AURYON 550EV- SYNGENTA,BURON,2.0,FLUTRIAFOL,princípio ativo
CLORIDRATO DE NORTRIPTILINA,DEZ,1.0,"2,4 - D",princípio ativo
FOLISULTO,COLISEO,4.0,ATRAZINA,princípio ativo
FEIJAO (PLANTACAO),FEICAN,2.0,"COTESIA FLAVIPES (CAMERON,1891)",princípio ativo
RAVAL,AVAL,1.0,TEBUTHIURON,princípio ativo
CIDEQUETRIN,BEQUEBR,6.0,FIPRONIL,princípio ativo
SUPRATHIOM,SPRAYKILL,5.0,DIQUATE,princípio ativo
COLOSSO 50,COLISEO,2.0,ATRAZINA,princípio ativo
TRCLOFOM,PICLORAM,4.0,PICLORAM,princípio ativo
EVIDENCE 700 W6,ALICERCE,4.0,MANCOZEBE,princípio ativo
MARSHLL,MAXSAN,4.0,DINOTEFURAM,princípio ativo
